lfnr,krnr,agglvl,name,wkr,regbez,n206pop,n206wb,n206as,n206us,n206gs,n206dnvp,n206dvp,n206z,n206ddp,n206spd,n206uspd,n206kpd,n206bvpx,n206bbb,n206dmpx,n206ndvx,n206x,n245pop,n245wb,n245as,n245us,n245gs,n245dnvp,n245dvfp,n245dvp,n245z,n245ddp,n245spd,n245kpd,n245bvpx,n245wpx,n245dsp,n245uspd,n245x,n24dpop,n24dwb,n24das,n24dus,n24dgs,n24ddnvp,n24dnsfb,n24ddvp,n24dz,n24dddp,n24dspd,n24dkpd,n24dbvpx,n24dwpx,n24ddszx,n24duspd,n24dx,n285pop,n285wb,n285as,n285us,n285gs,n285spd,n285dnvp,n285zx,n285dvp,n285kpd,n285ddpx,n285wp,n285nsda,n285dbpx,n285dlvx,n285vrp,n285x,n309pop,n309wb,n309as,n309us,n309gs,n309spd,n309dnvp,n309zx,n309kpd,n309dvp,n309dstp,n309wp,n309nsda,n309dlvx,n309kvp,n309csvd,n309x,n327pop,n327wb,n327as,n327us,n327gs,n327spd,n327nsda,n327kpd,n327zx,n327dnvp,n327dvp,n327dlvx,n327dstp,n327wp,n327csvd,n327x,n32npop,n32nwb,n32nas,n32nus,n32ngs,n32nnsda,n32nspd,n32nkpd,n32nzx,n32ndnvp,n32ndvp,n32ndstp,n32ncsvd,n32nwp,n32nvb,n32nx,n333pop,n333wb,n333as,n333us,n333gs,n333nsda,n333spd,n333kpd,n333zx,n333kf,n333dvp,n333csvd,n333dbpx,n333dhp,n333dstp,n333x,agg2024,agg2424,agg2428,agg2830,agg3033,agg2833,agg3032,agg3232,agg3233
1624,340,8,GRAEFENTHAL,12,1,"2,402","1,438","1,208",4,"1,204",104,186,0,117,524,190,83,0,0,0,0,0,"2,602","1,717","1,499",9,"1,490",43,119,390,3,81,455,272,24,82,0,6,15,"2,602","1,701","1,510",11,"1,499",140,16,309,5,63,512,224,20,199,0,0,11,"2,653","1,799","1,399",11,"1,388",507,42,2,199,266,37,250,53,0,11,11,10,"2,653","1,856","1,622",18,"1,604",505,37,0,347,85,20,81,444,16,11,14,44,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,653","1,859","1,739",7,"1,732",813,445,299,5,147,17,1,0,0,5,0,"1,624","1,624","1,624","1,624","1,624","1,624",0,0,0
1625,340,8,POESSNECK,12,1,"12,021","8,396","6,826",21,"6,805","1,351",922,83,565,"1,897","1,946",41,0,0,0,0,0,"12,676","9,813","7,757",53,"7,704",219,"1,341","1,032",79,287,"1,604","1,897",161,919,0,64,101,"12,676","10,068","8,014",68,"7,946",333,708,"1,120",107,280,"2,313","1,698",160,"1,099",0,0,128,"14,625","10,653","8,242",70,"8,172","3,054",211,91,"1,049","1,525",257,"1,096",289,3,145,149,303,"14,625","10,921","9,736",126,"9,610","2,824",118,108,"2,225",786,137,781,"2,076",127,96,93,239,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"14,625","11,272","9,944",107,"9,837","4,170","2,394","2,054",144,762,215,44,3,0,48,3,"1,625","1,625","1,625","1,625","1,625","1,625",0,0,0
1626,340,8,SAALFELD,12,1,"14,595","9,309","7,924",23,"7,901",457,"1,868",74,859,"2,435","1,567",641,0,0,0,0,0,"16,060","11,571","9,425",94,"9,331",651,990,"1,398",89,407,"2,615","1,574",258,765,0,54,530,"16,060","11,812","9,965",122,"9,843",882,567,"1,586",101,575,"3,605","1,117",274,930,0,0,206,"17,960","12,718","10,290",131,"10,159","4,669",666,100,"1,838",602,454,768,464,12,191,227,168,"17,960","13,140","11,885",113,"11,772","4,919",396,114,711,"1,056",291,733,"2,940",199,69,84,260,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"17,960","13,590","12,473",104,"12,369","5,799","3,202","1,860",149,984,267,38,5,2,62,1,"1,622","1,626","1,626","1,626","1,626","1,626",0,0,0
1627,340,8,KRANICHFELD,12,1,"2,230","1,311","1,001",2,999,127,253,0,27,160,432,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"1,679",0,0,0,0,0,0,0,0
1628,340,8,CAMBURG,12,1,"2,727","1,755","1,505",3,"1,502",488,201,2,141,192,471,7,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"1,510",0,0,0,0,0,0,0,0
1629,340,9,REST-SAALFELD,12,1,"34,082","20,233","15,920",46,"15,874","5,764","1,396",23,517,"4,538","3,383",253,0,0,0,0,0,"36,021","22,113","17,891",125,"17,766",526,"1,407","1,301",30,333,"5,955","2,101","5,289",331,0,107,386,"36,021","23,747","18,650",160,"18,490",740,755,"1,419",81,425,"7,879","1,225","5,087",700,0,0,179,"38,426","25,181","18,341",148,"18,193","8,189",484,40,"1,361","1,220",289,888,677,63,"4,545",171,266,"38,426","26,222","21,521",159,"21,362","8,821",583,81,"1,629",806,253,546,"3,682","4,340",89,112,420,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"38,426","26,404","23,256",125,"23,131","10,568","5,881","2,583",97,"3,762",138,36,25,0,29,12,"1,622","1,629","1,629","1,629","1,629","1,629",0,0,0
1630,341,5,SCHLEIZ,12,1,"44,687","26,153","22,076",55,"22,021","8,312","3,538",0,"1,230",758,"8,176",7,0,0,0,0,0,"47,852","29,757","23,550",108,"23,442",698,"4,866","1,618",15,466,"5,159","1,357","8,228",200,0,504,331,"47,852","29,783","23,856",175,"23,681","1,092","2,461","1,927",37,814,"7,064",823,"8,581",627,0,0,255,"48,482","31,190","23,163",185,"22,978","6,741",811,36,"1,120","1,063",379,"1,730","2,652",110,"7,737",213,386,"48,491","32,513","26,810",233,"26,577","7,650",507,35,"1,836",534,241,"1,377","6,331","7,016",131,330,589,"48,491","34,977","29,451",374,"29,077","5,565","15,805","2,311",91,945,314,"3,634",109,103,116,84,"48,491","33,695","26,518",178,"26,340","12,853","4,762","2,908",46,"1,269",278,42,125,64,0,"3,993","48,491","33,301","29,872",141,"29,731","16,540","5,073","2,052",46,"5,678",180,99,22,2,27,12,0,0,0,0,0,0,"1,630","1,630","1,630"
1631,341,8,HIRSCHBERG,12,1,"2,485","1,472","1,233",4,"1,229",92,353,0,110,11,663,0,0,0,0,0,0,"2,485","1,680","1,502",8,"1,494",19,494,205,1,22,573,86,53,5,0,21,15,"2,485","1,653","1,535",7,"1,528",55,332,255,3,34,748,21,44,17,0,0,19,"2,671","1,834","1,565",5,"1,560",652,55,4,172,78,18,149,358,0,41,12,21,"2,671","1,925","1,623",14,"1,609",652,28,5,141,105,20,94,483,32,10,2,37,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,671","2,081","1,847",7,"1,840",930,577,139,9,134,48,0,1,0,2,0,"1,631","1,631","1,631","1,631","1,631","1,631",0,0,0
1632,341,8,LOBENSTEIN,12,1,"2,973","1,830","1,594",1,"1,593",100,381,0,346,67,698,1,0,0,0,0,0,"2,978","1,975","1,525",6,"1,519",76,182,319,0,110,540,95,62,9,0,22,104,"2,978","2,021","1,576",12,"1,564",120,37,290,1,144,738,19,73,132,0,0,10,"3,209","2,110","1,442",18,"1,424",710,56,1,139,40,91,272,45,1,48,5,16,"3,209","2,137","1,868",10,"1,858",797,26,6,211,137,37,309,244,51,8,13,19,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"3,209","2,320","2,118",6,"2,112","1,004",506,306,4,234,40,13,0,0,5,0,"1,632","1,632","1,632","1,632","1,632","1,632",0,0,0
1633,341,8,SCHLEIZ,12,1,"5,488","3,301","2,895",6,"2,889",298,"1,071",0,390,121,"1,005",4,0,0,0,0,0,"6,193","3,906","3,246",20,"3,226",199,"1,120",405,3,172,500,351,251,24,0,154,47,"6,193","3,986","3,193",41,"3,152",319,441,527,14,278,825,249,214,233,0,0,52,"6,120","4,115","3,274",41,"3,233",761,249,7,243,218,108,466,775,13,233,66,94,"6,120","4,384","3,699",56,"3,643",856,199,7,297,65,70,249,"1,462",214,44,70,110,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"6,120","4,415","4,068",28,"4,040","2,150",729,344,6,751,28,21,2,1,7,1,"1,636","1,633","1,633","1,633","1,633","1,633",0,0,0
1634,341,8,TANNA,12,1,"2,017","1,181","1,005",3,"1,002",246,391,0,0,67,296,2,0,0,0,0,0,"2,271","1,375","1,059",9,"1,050",21,491,86,1,8,173,22,207,17,0,14,10,"2,271","1,353","1,012",10,"1,002",96,257,173,2,11,215,22,197,15,0,0,14,"2,176","1,319",793,14,779,189,27,4,68,18,6,114,151,4,173,9,16,"2,176","1,491","1,212",12,"1,200",204,15,2,50,19,3,62,624,125,1,45,50,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,176","1,565","1,394",6,"1,388","1,088",114,76,0,100,8,0,1,0,0,1,"1,636","1,634","1,634","1,634","1,634","1,634",0,0,0
1635,341,8,WURZBACH,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,127","1,321",975,13,962,324,27,1,48,210,5,101,107,7,112,7,13,"2,127","1,396","1,170",23,"1,147",420,13,1,207,27,10,100,226,116,3,4,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,127","1,429","1,338",20,"1,318",517,328,301,1,160,3,4,3,0,1,0,0,0,"1,636","1,635","1,635","1,635",0,0,0
1636,341,9,REST-SCHLEIZ,12,1,"31,724","18,369","15,349",41,"15,308","7,576","1,342",0,384,492,"5,514",0,0,0,0,0,0,"33,925","20,821","16,218",65,"16,153",383,"2,579",603,10,154,"3,373",803,"7,655",145,0,293,155,"33,925","20,770","16,540",105,"16,435",502,"1,394",682,17,347,"4,538",512,"8,053",230,0,0,160,"32,179","20,491","15,114",94,"15,020","4,105",397,19,450,499,151,628,"1,216",85,"7,130",114,226,"32,188","21,180","17,238",118,"17,120","4,721",226,14,930,181,101,563,"3,292","6,478",65,196,353,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"32,188","21,491","19,107",74,"19,033","10,851","2,819",886,26,"4,299",53,61,15,1,12,10,"1,636","1,636","1,636","1,636","1,636","1,636",0,0,0
1637,342,5,SONDERSHAUSEN,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"69,055","38,079","35,146",230,"34,916","3,807","4,052","2,303",121,838,"6,007","6,207","9,621","1,045",0,289,626,"69,055","44,137","35,743",365,"35,378","4,590","2,175","2,818",164,"1,199","8,419","4,617","9,104","1,923",0,0,369,"72,164","45,757","32,975",414,"32,561","10,522","2,209",107,"2,486","3,705","1,045","2,570",803,198,"7,826",453,637,"72,164","47,015","37,475",339,"37,136","10,350","1,686",159,"5,771","1,829",779,"1,516","7,355","6,238",233,450,770,"72,164","48,608","41,149",627,"40,522","7,639","19,920","7,127",335,"1,473",531,"2,731",279,217,149,121,"72,164","48,644","38,400",390,"38,010","16,213","7,090","7,567",143,"2,260",806,198,149,104,0,"3,480","72,164","48,403","43,401",296,"43,105","22,562","6,510","6,690",180,"6,334",523,137,14,8,134,13,0,0,0,0,0,0,"1,637","1,637","1,637"
1638,342,8,FRANKENHAUSEN (BAD),12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"6,544","4,396","3,923",34,"3,889",433,741,239,14,125,"1,105",795,114,230,0,14,79,"6,544","4,424","3,998",61,"3,937",533,354,315,27,165,"1,277",751,91,403,0,0,21,"7,010","4,897","4,070",97,"3,973","1,434",451,25,300,717,162,532,85,7,82,109,69,"7,010","5,060","4,461",60,"4,401","1,286",258,31,861,214,116,225,"1,112",47,45,98,108,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"7,010","4,963","4,587",39,"4,548","1,837","1,295",833,24,450,57,26,0,1,25,0,"1,638","1,638","1,638","1,638","1,638","1,638",0,0,0
1639,342,8,GREUSSEN,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"3,183","1,918","1,666",10,"1,656",357,413,270,15,62,76,229,53,102,0,9,70,"3,183","2,194","1,799",25,"1,774",486,279,309,20,81,150,208,62,153,0,0,26,"3,392","2,166","1,318",15,"1,303",188,107,9,317,177,74,181,54,0,69,37,90,"3,392","2,366","1,834",31,"1,803",243,129,15,358,169,78,165,506,61,10,27,42,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"3,392","2,279","2,086",6,"2,080","1,159",140,327,16,384,49,1,0,0,4,0,"1,639","1,639","1,639","1,639","1,639","1,639",0,0,0
1640,342,8,OLDISLEBEN,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,422","1,410","1,108",12,"1,096",69,53,110,2,34,248,343,180,27,0,14,16,"2,422","1,408","1,061",14,"1,047",116,19,87,2,32,255,286,131,99,0,0,20,"2,385","1,455","1,046",12,"1,034",244,41,2,63,322,10,190,6,7,121,10,18,"2,385","1,479","1,286",8,"1,278",152,17,1,609,42,46,72,172,133,10,0,24,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,385","1,572","1,373",26,"1,347",487,121,522,0,193,16,4,0,0,3,1,"1,644","1,640","1,640","1,640","1,640","1,640",0,0,0
1641,342,8,SCHLOTHEIM,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"3,434","2,127","1,877",12,"1,865",417,135,164,6,13,288,744,15,51,0,9,23,"3,434","2,129","1,894",12,"1,882",362,50,252,10,28,421,623,13,118,0,0,5,"3,830","2,328","1,526",35,"1,491",481,105,10,184,471,14,172,16,1,6,5,26,"3,830","2,398","2,029",17,"2,012",446,113,10,827,97,16,125,309,18,8,19,24,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"3,830","2,572","2,387",11,"2,376",862,406,950,10,115,24,6,0,0,3,0,"1,641","1,641","1,641","1,641","1,641","1,641",0,0,0
1642,342,8,SONDERSHAUSEN,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"9,122","4,896","4,137",25,"4,112",981,763,716,49,231,502,456,24,277,0,30,83,"9,122","5,230","4,298",34,"4,264","1,047",445,734,48,316,676,356,23,560,0,0,59,"9,978","6,953","4,883",39,"4,844","1,541",751,45,784,235,345,664,181,7,62,134,95,"9,978","7,145","5,909",48,"5,861","1,653",546,70,377,675,237,418,"1,483",63,78,149,112,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"9,978","7,246","6,633",50,"6,583","3,767",926,673,69,869,164,54,1,1,55,4,"1,644","1,642","1,642","1,642","1,642","1,642",0,0,0
1643,342,8,STOCKHAUSEN,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,111","1,369","1,118",2,"1,116",66,160,61,2,36,418,265,35,31,0,18,24,"2,111","1,341","1,096",6,"1,090",77,50,66,2,41,596,152,44,52,0,0,10,"2,189","1,511","1,135",8,"1,127",706,53,2,40,111,61,67,25,2,28,9,23,"2,189","1,563","1,347",16,"1,331",763,29,0,172,52,24,51,176,29,9,6,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,189","1,604","1,475",13,"1,462",531,512,313,9,70,17,5,1,0,4,0,"1,643","1,643","1,643","1,643","1,643","1,643",0,0,0
1644,342,9,REST-SONDERSHAUSEN,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"42,239","21,963","21,317",135,"21,182","1,484","1,787",743,33,337,"3,370","3,375","9,200",327,0,195,331,"42,239","27,411","21,597",213,"21,384","1,969",978,"1,055",55,536,"5,044","2,241","8,740",538,0,0,228,"43,380","26,447","18,997",208,"18,789","5,928",701,14,798,"1,672",379,764,436,174,"7,458",149,316,"43,380","27,004","20,609",159,"20,450","5,807",594,32,"2,567",580,262,460,"3,597","5,887",73,151,440,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"43,380","28,167","24,860",151,"24,709","13,919","3,110","3,072",52,"4,253",196,41,12,6,40,8,"1,644","1,644","1,644","1,644","1,644","1,644",0,0,0
1645,343,4,SONDERHAUSEN  S,12,1,"7,574","4,926","4,030",4,"4,026",869,"1,013",43,877,167,"1,039",18,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"1,644",0,0,0,0,0,0,0,0
1646,344,5,SONNEBERG,12,1,"68,346","40,714","29,872",108,"29,764","2,101","4,347",139,"3,867","9,751","7,895","1,664",0,0,0,0,0,"72,699","48,087","36,137",274,"35,863","1,089","2,383","3,213",175,"4,517","13,001","6,023","2,371","2,106",0,298,687,"72,699","48,469","35,745",424,"35,321","2,577",939,"3,286",213,"3,265","15,275","4,988","2,155","2,149",0,0,474,"79,896","51,519","35,915",514,"35,401","14,535","1,090",164,"2,755","8,470","2,873","1,252","1,444",56,"1,825",396,541,"79,896","53,870","43,857",469,"43,388","14,421",706,189,"10,668","1,990",795,860,"10,836","1,603",246,184,890,"79,896","55,976","49,287",704,"48,583","11,307","24,690","9,691",355,842,461,763,136,127,101,110,"79,896","55,723","47,866",426,"47,440","22,732","10,021","11,313",202,"1,164",826,104,95,52,0,931,"79,896","55,698","51,556",342,"51,214","27,665","10,181","9,614",270,"2,680",544,107,26,9,99,19,0,0,0,0,0,0,"1,646","1,646","1,646"
1647,344,8,JUDENBACH,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,037","1,307","1,067",11,"1,056",556,9,0,42,357,47,14,4,2,5,10,10,"2,037","1,342","1,137",5,"1,132",496,6,4,403,36,14,7,146,0,2,0,18,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,037","1,357","1,291",3,"1,288",536,390,325,1,23,9,1,1,1,1,0,0,0,"1,647","1,647","1,647","1,647",0,0,0
1648,344,8,JUDENBACH MIT ROTTENBACH,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,007","1,297","1,043",3,"1,040",10,97,32,0,38,343,455,8,35,0,3,19,"2,007","1,303",981,4,977,26,10,34,1,32,421,400,10,33,0,0,10,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"1,659","1,648","1,647",0,0,0,0,0,0
1649,344,8,KOEPPELSDORF,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"3,231","2,178","1,903",11,"1,892",49,110,53,7,174,570,722,26,145,0,8,28,"3,231","2,244","1,918",16,"1,902",85,24,86,9,164,675,646,23,165,0,0,25,"3,584","2,427","2,000",21,"1,979",796,56,7,123,675,167,63,32,2,26,6,26,"3,584","2,487","2,161",23,"2,138",641,56,10,873,92,52,39,286,25,12,9,43,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"3,584","2,660","2,451",17,"2,434","1,020",417,755,20,186,26,5,4,0,0,1,"1,659","1,649","1,649","1,649","1,649","1,649",0,0,0
1650,344,8,LAUSCHA,12,1,"5,698","3,411","2,065",0,"2,065",0,662,0,113,689,233,368,0,0,0,0,0,"5,727","3,923","2,004",10,"1,994",81,89,536,3,307,766,81,2,14,0,16,99,"5,727","3,965","2,026",11,"2,015",230,53,322,3,160,802,86,1,306,0,0,52,"6,384","4,205","2,168",12,"2,156",700,65,2,275,635,71,35,293,5,4,25,46,"6,384","4,480","3,498",18,"3,480",897,29,6,860,163,56,84,"1,283",7,18,7,70,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"6,384","4,532","4,196",26,"4,170","2,434",849,689,11,89,81,3,0,0,13,1,"1,650","1,650","1,650","1,650","1,650","1,650",0,0,0
1651,344,8,MENGERSGEREUTH-HAEMMERN,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"3,738","2,263","1,525",7,"1,518",16,105,108,0,511,530,144,39,25,0,11,29,"3,738","2,297","1,506",13,"1,493",108,12,132,0,308,772,75,34,25,0,0,27,"4,053","2,498","1,369",21,"1,348",717,21,1,101,238,166,15,17,1,41,9,21,"4,053","2,692","1,939",15,"1,924",538,15,1,461,78,52,21,670,24,10,1,53,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"4,053","2,741","2,550",14,"2,536","1,832",285,307,5,64,29,5,1,0,7,1,"1,659","1,651","1,651","1,651","1,651","1,651",0,0,0
1652,344,8,NEUHAUS-IGELSHIEB,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"4,409","2,763","1,873",13,"1,860",245,62,237,0,67,917,240,2,30,0,33,27,"4,409","2,874","2,019",21,"1,998",182,83,236,7,81,"1,266",95,2,32,0,0,14,"4,769","3,143","2,110",29,"2,081",864,101,3,191,691,78,64,58,1,2,9,19,"4,769","3,351","2,618",25,"2,593","1,011",43,3,646,229,45,63,481,1,31,18,22,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"4,769","3,405","3,009",23,"2,986","1,498",648,602,14,194,19,3,2,2,4,0,"1,659","1,652","1,652","1,652","1,652","1,652",0,0,0
1653,344,8,NEUHAUS-SCHIERSCHNITZ,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,067","1,367","1,170",9,"1,161",12,40,78,2,76,211,526,116,65,0,13,22,"2,067","1,375","1,117",16,"1,101",31,24,78,3,44,286,469,90,66,0,0,10,"2,466","1,500","1,192",7,"1,185",440,11,4,40,513,62,29,8,2,58,3,15,"2,466","1,617","1,408",7,"1,401",361,15,0,758,46,6,53,79,65,3,4,11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,466","1,715","1,546",10,"1,536",528,186,771,1,38,4,4,1,0,3,0,"1,659","1,653","1,653","1,653","1,653","1,653",0,0,0
